video name,comment,comment,comment,comment,comment,comment
9704,"phone's camera is good,display is very good,satisfied with the storage capacity,battery life is very good and happy with the overall perfomance of the phone within the price range","phone's camera is good,display is very good,satisfied with the storage capacity,battery life is very good and happy with the overall perfomance of the phone within the price range","phone's camera is good,display is very good,satisfied with the storage capacity,battery life is very good and happy with the overall perfomance of the phone within the price range","phone's camera is good,display is very good,satisfied with the storage capacity,battery life is very good and happy with the overall perfomance of the phone within the price range","phone's camera is good,display is very good,satisfied with the storage capacity,battery life is very good and happy with the overall perfomance of the phone within the price range","phone's camera is good,display is very good,satisfied with the storage capacity,battery life is very good and happy with the overall perfomance of the phone within the price range"
9706,"phone's camera is good,display is very good, not so satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range","phone's camera is good,display is very good, not so satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range","phone's camera is good,display is very good, not so satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range","phone's camera is good,display is very good, not so satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range","phone's camera is good,display is very good, not so satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range","phone's camera is good,display is very good, not so satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range"
9708,"phone's camera is good,display depends from time to time, satisfied with the storage capacity,battery life could be be better and happy with the overall perfomance of the phone within the price range","phone's camera is good,display depends from time to time, satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range","phone's camera is good,display depends from time to time, satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range","phone's camera is good,display depends from time to time, satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range","phone's camera is good,display depends from time to time, satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range","phone's camera is good,display depends from time to time, satisfied with the storage capacity,battery life coulbe be better and happy with the overall perfomance of the phone within the price range"
9709,"satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range","satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range","satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range","satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range","satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range","satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range"
9711,"satisfied with the phone's camera but it could be made better,display is good enough to work with, storage capacity is very good,speed is great,battery life coulbe be better and satisfied with the overall perfomance of the phone within the price range","satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range","satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range","satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range","satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range","satisfied with the phone's camera,display is very good but could be more vibrant, more storage capacity is needed,speed is great,battery life coulbe be better and more than satisfied with the overall perfomance of the phone within the price range"
9712,"satisfied with the phone's camera,display is not that great, more storage capacity is needed,speed is doable only,battery life is satisfactory and not satisfied with the overall perfomance of the phone within the price range",,,,,
9713,"satisfied with the phone's camera,display is okay,storage capacity is enough to work with,speed is good,battery life is satisfactory and satisfied with the overall perfomance of the phone within the price range",,,,,
9714,"not satisfied with the phone's camera,display is very good, storage capacity is good,speed is great,battery life is good and not satisfied with the overall perfomance of the phone within the price range",,,,,
9716,"satisfied with the phone's camera,display is not that good, enough storage capacity for me,speed is good,battery life is satisfactory and totally satisfied with the overall perfomance of the phone within the price range",,,,,
9717,"satisfied with the phone's camera,display is not up to the mark, storage capacity is good for me,speed is not good after using for 1 whole year,battery life is good and satisfied with the overall perfomance of the phone within the price range",,,,,
